,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes
47,1633611133457,-0.23339844,-0.73931885,0.7272339,0.6875,-1.140625,0.546875,Respeck,Sitting bent backward,5,s1714206,
48,1633611133461,-0.23168945,-0.7324829,0.76312256,0.765625,0.28125,0.1875,Respeck,Sitting bent backward,5,s1714206,
49,1633611133532,-0.23730469,-0.7241821,0.7579956,0.859375,-0.171875,0.3125,Respeck,Sitting bent backward,5,s1714206,
50,1633611133546,-0.2487793,-0.73638916,0.74871826,-1.109375,0.5,-0.203125,Respeck,Sitting bent backward,5,s1714206,
51,1633611133578,-0.22705078,-0.72540283,0.7670288,0.046875,-0.828125,-0.21875,Respeck,Sitting bent backward,5,s1714206,
52,1633611133653,-0.2355957,-0.7432251,0.76483154,-1.453125,0.234375,0.125,Respeck,Sitting bent backward,5,s1714206,
53,1633611133657,-0.23046875,-0.7251587,0.7567749,-1.671875,0.75,0.28125,Respeck,Sitting bent backward,5,s1714206,
54,1633611133728,-0.23876953,-0.7210083,0.7653198,-1.703125,1.25,0.296875,Respeck,Sitting bent backward,5,s1714206,
55,1633611133742,-0.23095703,-0.722229,0.7680054,-2.3125,1.375,0.375,Respeck,Sitting bent backward,5,s1714206,
56,1633611133775,-0.22998047,-0.7258911,0.7797241,-0.953125,1.84375,0.515625,Respeck,Sitting bent backward,5,s1714206,
57,1633611133848,-0.23266602,-0.7173462,0.7711792,-0.265625,0.671875,0.25,Respeck,Sitting bent backward,5,s1714206,
58,1633611133852,-0.2265625,-0.7190552,0.75946045,-0.15625,-0.25,0.359375,Respeck,Sitting bent backward,5,s1714206,
59,1633611133923,-0.2265625,-0.7168579,0.76312256,0.078125,-0.078125,0.46875,Respeck,Sitting bent backward,5,s1714206,
60,1633611133936,-0.23242188,-0.72906494,0.7584839,0.0625,0.328125,0.3125,Respeck,Sitting bent backward,5,s1714206,
61,1633611133966,-0.23242188,-0.72320557,0.7723999,0.28125,0.640625,0.15625,Respeck,Sitting bent backward,5,s1714206,
62,1633611134042,-0.23046875,-0.7280884,0.7272339,0.015625,-0.75,0.359375,Respeck,Sitting bent backward,5,s1714206,
63,1633611134046,-0.22460938,-0.7217407,0.789978,0.671875,1.859375,-0.25,Respeck,Sitting bent backward,5,s1714206,
64,1633611134118,-0.22314453,-0.7227173,0.7391968,-0.859375,0.859375,0.25,Respeck,Sitting bent backward,5,s1714206,
65,1633611134136,-0.2434082,-0.7268677,0.76776123,-0.84375,1.265625,-0.375,Respeck,Sitting bent backward,5,s1714206,
66,1633611134162,-0.22875977,-0.7178345,0.7863159,-0.78125,0.140625,-0.03125,Respeck,Sitting bent backward,5,s1714206,
67,1633611134239,-0.23510742,-0.7149048,0.7772827,-1.546875,1.15625,0.203125,Respeck,Sitting bent backward,5,s1714206,
