,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes
0,0,1633613035366,0.033203125,-0.7073364,0.28729248,5.078125,3.640625,-4.546875,Respeck,Descending stairs,13,s1714206,
1,1,1633613035441,-0.10546875,-0.6133423,0.28704834,-2.359375,6.359375,-2.71875,Respeck,Descending stairs,13,s1714206,
2,2,1633613035444,-0.10864258,-0.6633911,0.30267334,-10.421875,3.890625,-13.453125,Respeck,Descending stairs,13,s1714206,
3,3,1633613035518,0.080078125,-0.8921509,0.2111206,-12.546875,-2.515625,-8.34375,Respeck,Descending stairs,13,s1714206,
4,4,1633613035532,0.036376953,-1.3401489,0.22650146,-22.890625,-11.5625,-9.875,Respeck,Descending stairs,13,s1714206,
5,5,1633613035561,-0.05126953,-1.208313,0.3348999,-11.0625,-17.109375,1.765625,Respeck,Descending stairs,13,s1714206,
6,6,1633613035638,-0.4086914,-1.5979614,0.22259521,0.578125,-9.09375,-1.859375,Respeck,Descending stairs,13,s1714206,
7,7,1633613035647,-0.3161621,-1.2593384,0.3961792,23.078125,-2.578125,-7.828125,Respeck,Descending stairs,13,s1714206,
8,8,1633613035712,-0.27954102,-1.4434204,0.3204956,11.609375,3.703125,-0.5,Respeck,Descending stairs,13,s1714206,
9,9,1633613035728,-0.061279297,-1.2651978,0.36224365,-0.671875,5.34375,1.84375,Respeck,Descending stairs,13,s1714206,
10,10,1633613035760,-0.32250977,-0.8933716,0.21673584,13.671875,11.78125,8.578125,Respeck,Descending stairs,13,s1714206,
11,11,1633613035833,-0.27392578,-0.7305298,0.18597412,10.890625,13.5,-5.453125,Respeck,Descending stairs,13,s1714206,
12,12,1633613035839,-0.037109375,-0.5515747,-0.090148926,13.8125,2.328125,1.21875,Respeck,Descending stairs,13,s1714206,
13,13,1633613035909,-0.03857422,-0.63409424,-0.074279785,4.6875,-8.59375,3.109375,Respeck,Descending stairs,13,s1714206,
14,14,1633613035923,0.05126953,-0.57647705,0.17303467,-9.296875,-18.5,-0.0625,Respeck,Descending stairs,13,s1714206,
15,15,1633613035952,-0.26416016,-0.56256104,0.35443115,-28.34375,-10.796875,4.875,Respeck,Descending stairs,13,s1714206,
16,16,1633613036028,-0.3947754,-0.57403564,0.089538574,-26.421875,7.71875,-8.375,Respeck,Descending stairs,13,s1714206,
17,17,1633613036041,0.103759766,-0.67266846,0.11663818,-0.078125,-1.265625,-7.78125,Respeck,Descending stairs,13,s1714206,
18,18,1633613036074,-0.015380859,-1.8040161,0.20941162,6.421875,-16.9375,-8.328125,Respeck,Descending stairs,13,s1714206,
19,19,1633613036148,-0.33496094,-2.0,0.43133545,2.609375,14.0625,6.15625,Respeck,Descending stairs,13,s1714206,
20,20,1633613036153,-0.10571289,-1.5339966,0.47650146,-1.953125,3.265625,7.09375,Respeck,Descending stairs,13,s1714206,
21,21,1633613036222,-0.05517578,-1.2529907,0.3764038,6.1875,-3.515625,8.0625,Respeck,Descending stairs,13,s1714206,
22,22,1633613036238,-0.111572266,-0.89923096,0.30755615,10.84375,-4.53125,8.140625,Respeck,Descending stairs,13,s1714206,
23,23,1633613036270,0.088134766,-0.82037354,0.30413818,1.6875,-0.328125,10.390625,Respeck,Descending stairs,13,s1714206,
24,24,1633613036345,0.032470703,-0.7280884,0.23016357,-4.84375,14.484375,14.484375,Respeck,Descending stairs,13,s1714206,
25,25,1633613036353,-0.033203125,-0.37799072,0.14105225,-6.765625,7.96875,7.3125,Respeck,Descending stairs,13,s1714206,
26,26,1633613036419,0.118896484,-0.5874634,0.18890381,-8.015625,-1.1875,6.078125,Respeck,Descending stairs,13,s1714206,
27,27,1633613036493,-0.12988281,-0.7258911,0.27679443,-3.484375,2.3125,-2.84375,Respeck,Descending stairs,13,s1714206,
28,28,1633613036502,-0.012451172,-0.81817627,0.121276855,-9.171875,-3.0,-4.203125,Respeck,Descending stairs,13,s1714206,
29,29,1633613036509,0.04736328,-0.9800415,0.19818115,4.75,-11.359375,-1.6875,Respeck,Descending stairs,13,s1714206,
30,30,1633613036536,-0.35791016,-1.4859009,0.17474365,-0.28125,-5.3125,-5.578125,Respeck,Descending stairs,13,s1714206,
31,31,1633613036616,-0.07910156,-1.7439575,0.4755249,8.015625,-13.890625,-9.421875,Respeck,Descending stairs,13,s1714206,
32,32,1633613036627,-0.46435547,-1.5015259,0.46087646,16.265625,-18.265625,-3.21875,Respeck,Descending stairs,13,s1714206,
33,33,1633613036656,-0.0034179688,-1.4939575,0.46209717,-5.515625,-7.59375,0.015625,Respeck,Descending stairs,13,s1714206,
34,34,1633613036734,-0.25561523,-0.6934204,0.37664795,-0.375,7.03125,5.125,Respeck,Descending stairs,13,s1714206,
35,35,1633613036742,-0.09814453,-0.6814575,0.1774292,3.765625,14.03125,4.203125,Respeck,Descending stairs,13,s1714206,
36,36,1633613036809,-0.047607422,-0.5442505,0.008972168,6.984375,3.65625,-2.09375,Respeck,Descending stairs,13,s1714206,
37,37,1633613036824,-0.19116211,-0.4968872,0.12689209,2.046875,-11.484375,-0.421875,Respeck,Descending stairs,13,s1714206,
38,38,1633613036852,-0.1586914,-0.6304321,0.15911865,-3.25,-8.328125,-1.6875,Respeck,Descending stairs,13,s1714206,
39,39,1633613036929,-0.1262207,-0.7073364,0.16033936,-10.171875,-11.234375,2.484375,Respeck,Descending stairs,13,s1714206,
40,40,1633613036937,-0.16015625,-0.5359497,0.2675171,-14.046875,-6.65625,3.6875,Respeck,Descending stairs,13,s1714206,
41,41,1633613037005,-0.16503906,-0.5095825,0.15374756,1.890625,11.828125,0.046875,Respeck,Descending stairs,13,s1714206,
42,42,1633613037017,-0.026123047,-0.99957275,0.105895996,5.734375,5.6875,-7.421875,Respeck,Descending stairs,13,s1714206,
43,43,1633613037046,-0.13916016,-2.0,0.47650146,5.828125,8.328125,-17.734375,Respeck,Descending stairs,13,s1714206,
44,44,1633613037123,-0.045898438,-2.0,0.3270874,14.578125,31.453125,7.578125,Respeck,Descending stairs,13,s1714206,
45,45,1633613037132,-0.0012207031,-1.5425415,0.45159912,7.1875,19.6875,11.5,Respeck,Descending stairs,13,s1714206,
46,46,1633613037199,-0.25,-0.88726807,0.32073975,13.40625,11.078125,3.765625,Respeck,Descending stairs,13,s1714206,
47,47,1633613037211,-0.018066406,-0.67193604,0.22625732,3.921875,-0.328125,-0.90625,Respeck,Descending stairs,13,s1714206,
48,48,1633613037242,0.21557617,-0.7752075,0.22235107,-0.96875,5.1875,7.484375,Respeck,Descending stairs,13,s1714206,
49,49,1633613037316,-0.028320312,-0.52960205,0.26409912,-2.125,18.515625,10.671875,Respeck,Descending stairs,13,s1714206,
50,50,1633613037323,-0.09667969,-0.37750244,0.024597168,-4.109375,25.90625,5.0,Respeck,Descending stairs,13,s1714206,
51,51,1633613037394,0.2241211,-0.5901489,0.042907715,-3.34375,6.65625,-6.796875,Respeck,Descending stairs,13,s1714206,
52,52,1633613037408,-0.0026855469,-0.7583618,0.2526245,-3.546875,-2.125,-3.421875,Respeck,Descending stairs,13,s1714206,
53,53,1633613037435,-0.19311523,-0.7168579,-0.01373291,6.578125,-4.0,0.09375,Respeck,Descending stairs,13,s1714206,
54,54,1633613037514,0.13305664,-1.1953735,0.13226318,-4.09375,-20.015625,-15.828125,Respeck,Descending stairs,13,s1714206,
55,55,1633613037521,-0.4128418,-1.8179321,0.1083374,8.421875,-22.5,-9.984375,Respeck,Descending stairs,13,s1714206,
56,56,1633613037591,-0.111816406,-2.0,0.105407715,-13.84375,-26.40625,-15.859375,Respeck,Descending stairs,13,s1714206,
57,57,1633613037602,-0.3803711,-1.4500122,0.39935303,11.53125,-34.78125,11.859375,Respeck,Descending stairs,13,s1714206,
58,58,1633613037633,-0.20483398,-1.1636353,0.49993896,-0.390625,-8.96875,9.3125,Respeck,Descending stairs,13,s1714206,
59,59,1633613037708,-0.42895508,-0.45513916,0.22869873,1.875,7.875,-2.6875,Respeck,Descending stairs,13,s1714206,
60,60,1633613037715,-0.25952148,-0.677063,0.08123779,-7.0625,6.203125,-5.25,Respeck,Descending stairs,13,s1714206,
61,61,1633613037783,-0.06713867,-0.6380005,0.03314209,-7.703125,-5.484375,-2.25,Respeck,Descending stairs,13,s1714206,
62,62,1633613037798,-0.11279297,-0.43536377,0.16082764,-4.03125,-13.203125,5.921875,Respeck,Descending stairs,13,s1714206,
63,63,1633613037828,-0.29589844,-0.5244751,0.17596436,-15.84375,-3.40625,-0.640625,Respeck,Descending stairs,13,s1714206,
64,64,1633613037904,0.009765625,-0.4541626,0.17645264,-14.015625,1.40625,3.0625,Respeck,Descending stairs,13,s1714206,
65,65,1633613037911,0.044921875,-0.6741333,0.07318115,-7.6875,-2.0625,3.78125,Respeck,Descending stairs,13,s1714206,
66,66,1633613037978,-0.009033203,-1.5379028,0.018005371,-2.375,-12.78125,-12.671875,Respeck,Descending stairs,13,s1714206,
67,67,1633613037991,-0.11645508,-1.9553833,0.5438843,20.953125,-5.65625,10.75,Respeck,Descending stairs,13,s1714206,
68,68,1633613038024,-0.28466797,-1.8740845,0.52752686,3.78125,11.421875,1.6875,Respeck,Descending stairs,13,s1714206,
69,69,1633613038099,0.020751953,-1.447815,0.5014038,11.203125,5.6875,2.8125,Respeck,Descending stairs,13,s1714206,
70,70,1633613038113,-0.22143555,-1.0457153,0.29803467,2.3125,-2.21875,3.3125,Respeck,Descending stairs,13,s1714206,
71,71,1633613038143,0.07495117,-0.9133911,0.32806396,3.3125,-3.46875,3.640625,Respeck,Descending stairs,13,s1714206,
72,72,1633613038220,-0.041503906,-0.644104,0.30096436,0.203125,3.140625,7.921875,Respeck,Descending stairs,13,s1714206,
73,73,1633613038229,-0.068847656,-0.57037354,0.18011475,-2.765625,18.765625,7.546875,Respeck,Descending stairs,13,s1714206,
74,74,1633613038292,0.008056641,-0.3526001,0.093933105,-4.75,15.8125,1.390625,Respeck,Descending stairs,13,s1714206,
75,75,1633613038307,0.07788086,-0.5171509,0.11395264,-4.078125,4.21875,0.046875,Respeck,Descending stairs,13,s1714206,
