,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes
47,1633611092988,0.017822266,-0.86798096,-0.43951416,2.046875,0.0,1.15625,Respeck,Sitting bent forward,4,s1714206,
48,1633611093002,0.018554688,-0.8677368,-0.4265747,1.71875,-0.078125,0.46875,Respeck,Sitting bent forward,4,s1714206,
49,1633611093033,0.012939453,-0.86602783,-0.4746704,0.671875,-1.828125,0.953125,Respeck,Sitting bent forward,4,s1714206,
50,1633611093110,0.043945312,-0.8550415,-0.41485596,0.125,1.125,0.046875,Respeck,Sitting bent forward,4,s1714206,
51,1633611093112,0.021728516,-0.86724854,-0.46661377,-0.78125,0.671875,0.90625,Respeck,Sitting bent forward,4,s1714206,
52,1633611093182,0.021972656,-0.87701416,-0.45489502,-0.578125,-0.21875,0.1875,Respeck,Sitting bent forward,4,s1714206,
53,1633611093197,0.01586914,-0.8640747,-0.43389893,0.5,-0.46875,0.46875,Respeck,Sitting bent forward,4,s1714206,
54,1633611093226,0.013671875,-0.88116455,-0.44439697,-1.84375,0.1875,0.34375,Respeck,Sitting bent forward,4,s1714206,
55,1633611093305,0.02758789,-0.85235596,-0.43951416,-1.421875,-0.125,0.484375,Respeck,Sitting bent forward,4,s1714206,
56,1633611093307,0.024658203,-0.861145,-0.43707275,-0.53125,0.953125,-0.140625,Respeck,Sitting bent forward,4,s1714206,
57,1633611093376,0.016357422,-0.8748169,-0.4360962,0.40625,0.765625,-0.328125,Respeck,Sitting bent forward,4,s1714206,
58,1633611093393,0.024169922,-0.8711548,-0.43902588,1.328125,0.421875,-0.109375,Respeck,Sitting bent forward,4,s1714206,
59,1633611093422,0.025390625,-0.87701416,-0.43096924,1.65625,0.15625,0.171875,Respeck,Sitting bent forward,4,s1714206,
60,1633611093499,0.029785156,-0.8760376,-0.44293213,2.015625,0.109375,0.546875,Respeck,Sitting bent forward,4,s1714206,
61,1633611093511,0.025146484,-0.866272,-0.44586182,1.15625,-0.046875,0.75,Respeck,Sitting bent forward,4,s1714206,
62,1633611093541,0.012451172,-0.86383057,-0.44171143,1.15625,0.671875,0.984375,Respeck,Sitting bent forward,4,s1714206,
63,1633611093617,0.021484375,-0.8604126,-0.46051025,1.359375,0.5625,0.515625,Respeck,Sitting bent forward,4,s1714206,
64,1633611093620,0.018066406,-0.8701782,-0.45977783,3.21875,-0.25,0.671875,Respeck,Sitting bent forward,4,s1714206,
65,1633611093692,0.026855469,-0.86798096,-0.4595337,-0.921875,-0.5,0.484375,Respeck,Sitting bent forward,4,s1714206,
66,1633611093712,0.040771484,-0.8484497,-0.4336548,4.203125,-1.234375,0.484375,Respeck,Sitting bent forward,4,s1714206,
67,1633611093738,0.01171875,-0.8772583,-0.46636963,-0.640625,-0.515625,-0.3125,Respeck,Sitting bent forward,4,s1714206,
68,1633611093816,0.016601562,-0.8508911,-0.43902588,0.984375,-0.4375,0.109375,Respeck,Sitting bent forward,4,s1714206,
69,1633611093819,0.024902344,-0.8777466,-0.45391846,1.109375,-0.234375,-0.328125,Respeck,Sitting bent forward,4,s1714206,
70,1633611093886,0.024414062,-0.86260986,-0.44976807,1.0,1.265625,0.484375,Respeck,Sitting bent forward,4,s1714206,
71,1633611093903,0.013427734,-0.86383057,-0.45855713,0.796875,1.515625,0.90625,Respeck,Sitting bent forward,4,s1714206,
72,1633611093932,0.028320312,-0.8501587,-0.4517212,1.59375,1.640625,0.734375,Respeck,Sitting bent forward,4,s1714206,
73,1633611094009,0.03173828,-0.84259033,-0.456604,1.203125,0.8125,0.734375,Respeck,Sitting bent forward,4,s1714206,
74,1633611094013,0.017089844,-0.8501587,-0.46588135,0.53125,0.09375,0.671875,Respeck,Sitting bent forward,4,s1714206,
75,1633611094084,0.027832031,-0.8587036,-0.4602661,1.578125,-0.125,0.09375,Respeck,Sitting bent forward,4,s1714206,
76,1633611094097,0.015136719,-0.8604126,-0.47198486,1.296875,-0.421875,0.421875,Respeck,Sitting bent forward,4,s1714206,
77,1633611094130,0.022705078,-0.8550415,-0.46881104,0.90625,-0.078125,0.4375,Respeck,Sitting bent forward,4,s1714206,
78,1633611094203,0.029296875,-0.86553955,-0.4668579,0.40625,-0.25,0.46875,Respeck,Sitting bent forward,4,s1714206,
79,1633611094205,0.017333984,-0.86065674,-0.45684814,-1.125,-0.015625,0.234375,Respeck,Sitting bent forward,4,s1714206,
80,1633611094276,0.02319336,-0.8735962,-0.47027588,0.140625,0.125,0.625,Respeck,Sitting bent forward,4,s1714206,
