Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
29,1633547877466,-0.21777344,0.16796875,0.97265625,-0.03125,-0.03125,0.28125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
30,1633547877527,-0.21972656,0.1796875,0.96484375,0.03125,-0.15625,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
31,1633547877557,-0.21289062,0.17382812,0.96777344,-0.15625,-0.09375,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
32,1633547877586,-0.21777344,0.17773438,0.9794922,-0.03125,0.09375,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
33,1633547877646,-0.21679688,0.17480469,0.97753906,-0.03125,0.09375,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
34,1633547877680,-0.22460938,0.16992188,0.9716797,0.09375,-0.03125,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
35,1633547877706,-0.22265625,0.16796875,0.9824219,0.03125,0.09375,0.21875,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
36,1633547877767,-0.21386719,0.1796875,0.9785156,0.34375,0.21875,0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
37,1633547877796,-0.21289062,0.17578125,0.97753906,0.09375,0.03125,0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
38,1633547877832,-0.22070312,0.17773438,0.96484375,0.78125,0.03125,0.21875,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
39,1633547877886,-0.21386719,0.17089844,0.9707031,-0.07382185828877,0.09375,0.21875,-12.3125,-16.4375,-60.625,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
40,1633547877917,-0.21972656,0.17675781,0.9785156,0.21875,-0.21875,0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
41,1633547877949,-0.21386719,0.18554688,0.96777344,0.15625,-0.15625,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
42,1633547878008,-0.22851562,0.18457031,0.9609375,0.40625,-0.03125,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
43,1633547878039,-0.21679688,0.17675781,0.9609375,-0.5,-0.34375,-0.21875,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
44,1633547878066,-0.21777344,0.18164062,0.97558594,-0.25,-0.15625,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
45,1633547878126,-0.22070312,0.16992188,0.9716797,-0.375,0.09375,0.28125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
46,1633547878156,-0.21191406,0.17285156,0.9824219,-0.25,-0.34375,0.40625,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
47,1633547878186,-0.21972656,0.17480469,0.98828125,-0.15625,-0.5,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
48,1633547878247,-0.21582031,0.17578125,0.9707031,-0.375,-0.28125,-0.46875,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
49,1633547878278,-0.21679688,0.18554688,0.9716797,0.09375,0.03125,-0.40625,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
50,1633547878306,-0.21484375,0.16796875,0.96875,-0.25,-0.28125,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
51,1633547878366,-0.21875,0.16992188,0.9785156,-0.09375,-0.15625,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
52,1633547878396,-0.21972656,0.1796875,0.96484375,-0.09375,-0.09375,0.15625,-11.5625,-16.1875,-59.3125,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
53,1633547878426,-0.21679688,0.17382812,0.9814453,0.21875,-0.03125,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
54,1633547878487,-0.21679688,0.18066406,0.9814453,-0.09375,-0.15625,0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
55,1633547878518,-0.21191406,0.17773438,0.97753906,0.21875,0.03125,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
56,1633547878545,-0.2109375,0.17675781,0.984375,0.21875,-0.03125,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
57,1633547878606,-0.22167969,0.18261719,0.9707031,-0.03125,-0.15625,-0.21875,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
58,1633547878640,-0.21582031,0.17871094,0.9785156,-0.03125,-0.15625,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
59,1633547878665,-0.21777344,0.17480469,0.9638672,0.21875,0.09375,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
60,1633547878727,-0.21972656,0.16992188,0.95703125,0.09375,-0.03125,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
61,1633547878757,-0.2109375,0.17480469,0.96972656,-0.3125,0.03125,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
62,1633547878788,-0.21386719,0.1640625,0.96875,-0.15625,-0.03125,0.46875,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
63,1633547878846,-0.22460938,0.18164062,0.9736328,0.15625,-0.03125,0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
64,1633547878878,-0.22851562,0.17382812,0.9746094,-0.25,0.03125,-0.09375,-11.375,-16.625,-58.125,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
