Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
0,1633275446510,0.1796875,-0.20196533,-0.92071533,1.8125,1.359375,-0.421875,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
1,1633275446573,0.17626953,-0.20367432,-0.9209595,1.609375,1.046875,-0.28125,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
2,1633275446575,0.17797852,-0.20611572,-0.92022705,1.84375,1.390625,-0.40625,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
3,1633275446614,0.17578125,-0.19903564,-0.91656494,1.59375,1.421875,-0.5625,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
4,1633275446644,0.17919922,-0.2053833,-0.9224243,1.671875,1.265625,-0.375,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
5,1633275446718,0.17871094,-0.20245361,-0.91534424,1.75,1.1875,-0.546875,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
6,1633275446778,0.1784668,-0.1987915,-0.925354,1.890625,1.296875,-0.46875,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
7,1633275446810,0.17407227,-0.20269775,-0.92266846,1.703125,1.21875,-0.421875,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
8,1633275446814,0.171875,-0.20050049,-0.9212036,1.84375,1.3125,-0.390625,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
9,1633275446853,0.18066406,-0.19659424,-0.9260864,1.84375,1.3125,-0.484375,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
10,1633275446885,0.17895508,-0.20147705,-0.9180298,1.8125,1.171875,-0.515625,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
11,1633275446929,0.1796875,-0.2029419,-0.92559814,1.828125,1.296875,-0.5625,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
12,1633275447006,0.17797852,-0.20123291,-0.9221802,1.625,1.296875,-0.359375,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
13,1633275447008,0.18530273,-0.19610596,-0.91729736,1.6875,1.5,-0.4375,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
14,1633275447095,0.17944336,-0.19976807,-0.9209595,1.796875,1.421875,-0.390625,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
15,1633275447103,0.17895508,-0.19952393,-0.91192627,1.8125,1.25,-0.515625,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
16,1633275447141,0.17871094,-0.20172119,-0.9209595,1.78125,1.328125,-0.375,Respeck,Lying down on stomach,8,s1724067,,Respeck_s1724067_Lying down on stomach_03-10-2021_16-38-06
