Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
0,1633275530014,-0.032714844,0.10614014,1.0819702,-0.21875,-0.859375,-0.078125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
1,1633275530044,-0.029296875,0.1227417,1.0829468,-0.015625,-0.5625,-0.09375,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
2,1633275530089,-0.03173828,0.121276855,1.0888062,1.03125,0.484375,-0.0625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
3,1633275530120,-0.034423828,0.11590576,1.0880737,0.453125,0.453125,-0.21875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
4,1633275530196,-0.03149414,0.11639404,1.0848999,1.03125,0.78125,-0.109375,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
5,1633275530211,-0.02734375,0.11273193,1.0844116,1.375,0.3125,-0.234375,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
6,1633275530238,-0.036376953,0.11590576,1.0778198,-0.21875,0.25,-0.125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
7,1633275530284,-0.032714844,0.12054443,1.0853882,0.796875,0.765625,-0.265625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
8,1633275530331,-0.041992188,0.120788574,1.09198,1.75,0.578125,-0.140625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
9,1633275530361,-0.03540039,0.1281128,1.0934448,0.921875,0.328125,-0.21875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
10,1633275530405,-0.04321289,0.13470459,1.0765991,1.109375,0.359375,-0.234375,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
11,1633275530435,-0.041748047,0.1281128,1.0985718,1.59375,0.8125,-0.296875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
12,1633275530479,-0.040771484,0.12835693,1.0734253,0.703125,0.859375,-0.3125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
13,1633275530524,-0.04711914,0.12176514,1.0971069,1.53125,0.296875,-0.28125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
14,1633275530554,-0.041503906,0.12982178,1.0795288,1.640625,0.09375,-0.25,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
15,1633275530599,-0.0546875,0.11785889,1.0884902435695538,-0.953125,1.984375,-0.40625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
16,1633275530646,-0.029541016,0.1395874,1.074646,0.21875,3.09375,-0.453125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
17,1633275530675,-0.044189453,0.12322998,1.0958862,1.4375,-0.359375,-0.328125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
18,1633275530720,-0.036865234,0.13446045,1.0824585,0.5,-0.40625,-0.328125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
19,1633275530750,-0.044677734,0.1383667,1.0795288,1.359375,1.09375,-0.34375,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
20,1633275530795,-0.04272461,0.1359253,1.0880737,1.46875,1.171875,-0.46875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
21,1633275530841,-0.040771484,0.13201904,1.0787964,2.09375,1.8125,-0.390625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
22,1633275530869,-0.04345703,0.13616943,1.0961304,2.328125,2.40625,-0.625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
23,1633275530917,-0.04248047,0.13494873,1.0775757,1.453125,2.125,-0.46875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
24,1633275530989,-0.03515625,0.1293335,1.0910034,3.21875,2.265625,-0.421875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
25,1633275530991,-0.036621094,0.1251831,1.0897827,3.015625,1.953125,-0.390625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
26,1633275531035,-0.033447266,0.13128662,1.076355,2.21875,1.59375,-0.296875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
27,1633275531070,-0.033691406,0.13250732,1.0827026,2.546875,1.4375,-0.390625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
28,1633275531109,-0.032958984,0.12347412,1.0853882,2.65625,1.96875,-0.421875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
29,1633275531154,-0.03540039,0.12786865,1.0839233,2.34375,1.3125,-0.328125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
30,1633275531184,-0.035888672,0.1251831,1.0839233,3.40625,2.6875,-0.578125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
31,1633275531228,-0.035888672,0.11663818,1.0905151,3.828125,2.984375,-0.609375,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
32,1633275531273,-0.028076172,0.12884521,1.1054077,3.21875,3.5,-0.625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
33,1633275531302,-0.033691406,0.12176514,1.0884902435695538,2.625,2.96875,-0.546875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
34,1633275531365,-0.020019531,0.116882324,1.0884902435695538,1.7559686421456175,3.03125,-0.65625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
35,1633275531394,-0.022460938,0.109558105,1.0839233,1.75,0.1875,-0.265625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
36,1633275531423,-0.028564453,0.11932373,1.0726929,2.203125,1.609375,-0.328125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
37,1633275531484,-0.026611328,0.112976074,1.0846558,3.15625,2.296875,-0.453125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
38,1633275531502,-0.016357422,0.109313965,1.0822144,3.25,2.8125,-0.578125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
39,1633275531544,-0.016601562,0.10662842,1.0905151,4.34375,3.078125,-0.546875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
40,1633275531574,-0.018798828,0.10101318,1.0888062,3.6875,1.703125,-0.4375,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
41,1633275531619,-0.009033203,0.10662842,1.0890503,3.6875,3.203125,-0.578125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
42,1633275531666,-0.022216797,0.10345459,1.0848999,3.625,2.9375,-0.578125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
43,1633275531694,-0.012207031,0.10028076,1.0924683,3.96875,2.71875,-0.71875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
44,1633275531740,-0.0087890625,0.09857178,1.0922241,3.578125,2.34375,-0.484375,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
45,1633275531784,-0.009765625,0.09515381,1.0817261,3.578125,2.515625,-0.75,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
46,1633275531815,-0.0073242188,0.09197998,1.09906,3.609375,2.421875,-0.703125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
47,1633275531859,-0.0041503906,0.085632324,1.0853882,3.28125,2.3125,-0.515625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
48,1633275531889,0.00048828125,0.08392334,1.086853,3.59375,2.453125,-0.515625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
49,1633275531934,-0.001953125,0.086120605,1.0839233,3.3125,2.53125,-0.78125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
50,1633275531995,0.0068359375,0.086120605,1.0917358,3.84375,2.859375,-0.734375,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
51,1633275532010,0.0034179688,0.08880615,1.0700073,1.9375,1.859375,-0.65625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
52,1633275532053,0.011474609,0.093688965,1.0910034,3.25,2.46875,-0.453125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
53,1633275532100,0.010253906,0.07611084,1.0983276,4.34375,1.187253937007874,-0.796875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
54,1633275532129,0.008544922,0.07196045,1.0968628,3.4375,1.84375,-0.6875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
55,1633275532175,0.014404297,0.070007324,1.0817261,2.859375,1.453125,-0.46875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
56,1633275532204,0.008544922,0.078308105,1.09198,3.0,1.859375,-0.46875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
57,1633275532250,0.010498047,0.07269287,1.0841675,2.515625,1.828125,-0.453125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
58,1633275532295,0.014404297,0.070495605,1.088562,2.875,2.265625,-0.546875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
59,1633275532324,0.013671875,0.07537842,1.0997925,3.34375,1.625,-0.671875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
60,1633275532371,0.012207031,0.06854248,1.0968628,2.734375,2.15625,-0.421875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
61,1633275532414,0.014404297,0.07147217,1.0951538,2.546875,2.34375,-0.703125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
62,1633275532444,0.01953125,0.06463623,1.0995483,2.96875,1.28125,-0.5625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
63,1633275532489,0.013916016,0.07171631,1.0853882,1.9375,1.078125,-0.5,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
64,1633275532521,0.013183594,0.066833496,1.095398,2.40625,1.65625,-0.421875,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
65,1633275532564,0.016845703,0.06072998,1.0929565,2.203125,1.15625,-0.3125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
66,1633275532609,0.0146484375,0.06048584,1.0888062,2.1875,1.3125,-0.328125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
67,1633275532641,0.014892578,0.061950684,1.0927124,2.109375,1.265625,-0.328125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
68,1633275532685,0.016601562,0.06072998,1.0907593,2.0,1.21875,-0.390625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
69,1633275532716,0.017333984,0.062683105,1.0905151,2.15625,1.09375,-0.328125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
70,1633275532775,0.012207031,0.062683105,1.0922241,2.09375,1.203125,-0.4375,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
71,1633275532806,0.015625,0.058776855,1.0997925,2.125,1.0625,-0.3125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
72,1633275532835,0.018066406,0.05633545,1.0873413,1.71875,1.34375,-0.3125,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
73,1633275532880,0.009765625,0.06439209,1.0878296,1.296875,0.984375,-0.34375,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
74,1633275532924,0.013427734,0.054626465,1.071228,1.125,0.359375,-0.265625,Respeck,Lying down on back,2,s1724067,,Respeck_s1724067_Lying down on back_03-10-2021_16-39-39
