Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
25,1633548315829,-1.0253906,0.033203125,-0.0546875,3.90625,-6.03125,7.0625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-16
26,1633548319699,-0.15039062,0.35253906,-0.07324219,17.75,-113.46875,-34.0625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
27,1633548319726,-0.39453125,0.053710938,-0.025390625,24.46875,-96.9375,-32.1875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
28,1633548319787,-0.3623047,-0.07519531,-0.14648438,-16.90625,-60.3125,-37.25,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
29,1633548319816,0.48046875,-0.22851562,-0.24609375,-7.875,35.28125,-36.03125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
30,1633548319844,-0.88964844,0.3935547,-0.5683594,-21.4375,-44.84375,11.09375,-69.4375,54.5,-70.5625,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
31,1633548319905,-1.9902344,0.57910156,-0.421875,-16.4375,-44.5625,5.09375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
32,1633548319937,-1.9902344,2.0048828,1.0195312,-164.5,-213.375,12.90625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
33,1633548319964,1.4716797,0.016601562,-1.6767578,-81.375,132.5625,76.59375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
34,1633548320024,-0.40527344,0.18066406,1.7783203,277.53125,-236.25,80.90625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
35,1633548320055,-1.3173828,-1.4814453,1.0898438,-62.9375,236.5625,38.90625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
36,1633548320085,-0.5136719,-0.0078125,0.36621094,205.1875,10.4375,14.5625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
37,1633548320144,-0.3779297,0.01953125,0.7949219,-22.53125,44.1875,79.21875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
38,1633548320180,-1.4199219,-0.25097656,-0.08691406,-31.4375,117.5625,48.1875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
39,1633548320205,-0.93359375,0.36035156,-0.16601562,-43.96875,51.21875,-29.9375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
40,1633548320295,-0.52246094,0.390625,-0.09375,-4.53125,43.28125,9.3125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
41,1633548320301,-1.1347656,0.28515625,-0.2529297,-10.8125,34.125,24.03125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
42,1633548320325,-1.0654297,0.34765625,-0.2763672,-5.5,31.5625,16.40625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
43,1633548320385,-1.0615234,0.23632812,-0.11328125,16.34375,16.96875,18.21875,-66.75,63.1875,-88.375,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
44,1633548320418,-1.0205078,0.068359375,0.0126953125,29.21875,11.15625,15.0625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
45,1633548320446,-0.9433594,0.20605469,-0.018554688,-1.15625,21.0625,17.125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
46,1633548320506,-0.99121094,0.21972656,-0.08886719,-4.09375,20.5,15.84375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
47,1633548320567,-0.9970703,0.2109375,-0.09277344,-10.875,16.46875,8.65625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
48,1633548320570,-0.9824219,0.24316406,-0.12988281,-7.21875,12.5625,8.28125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
49,1633548320626,-0.97558594,0.21875,-0.15136719,-1.09375,8.65625,8.71875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
50,1633548320656,-0.9951172,0.20800781,-0.10253906,4.21875,3.53125,7.3125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
51,1633548320687,-0.96972656,0.24609375,-0.11816406,4.25,3.125,5.53125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-20
52,1633548324615,-0.45214844,0.13476562,-0.19335938,16.03125,-56.40625,-18.21875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-25
53,1633548324645,-0.4111328,-0.09667969,0.09082031,-42.78125,-24.84375,-17.59375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-25
54,1633548324707,-0.65527344,-0.0390625,-0.4267578,-30.34375,-23.625,-23.625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-25
55,1633548324769,-1.9902344,-0.033203125,-0.12109375,31.5,-38.75,-22.90625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1724067,,Thingy_s1724067_Falling on knees_06-10-2021_20-25-25
