timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,recording_id,sensor_type,activity_type,activity_code,subject_id,notes
1634167062407,-0.021484375,-0.9951782,0.22894287,4.296875,3.609375,0.078125,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167062447,-0.036865234,-0.97369385,0.2296753,1.46875,2.46875,-0.34375,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167062487,-0.020507812,-0.99102783,0.20159912,1.984375,2.515625,0.359375,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167062528,-0.020263672,-0.9805298,0.24285889,-0.09375,-0.28125,0.328125,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167062572,-0.020019531,-0.98101807,0.20428467,2.3125,2.078125,0.21875,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167062607,-0.044189453,-0.9849243,0.23358154,0.578125,1.078125,0.296875,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167062654,-0.03491211,-0.9819946,0.22796631,1.328125,0.265625,0.65625,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167062687,-0.030273438,-0.9834595,0.21673584,0.96875,1.734375,1.125,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167062727,-0.0390625,-0.9866333,0.21673584,1.28125,0.109375,1.296875,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167062767,-0.029052734,-0.97979736,0.2230835,1.359375,0.828125,1.046875,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167062847,-0.037109375,-0.96832275,0.215271,0.9375,0.953125,1.234375,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167062867,-0.033203125,-0.98101807,0.20941162,-0.03125,0.234375,1.3125,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167062887,-0.045898438,-0.975647,0.26361084,0.375,0.71875,0.5625,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167062907,-0.0625,-0.98223877,0.26312256,-0.34375,2.09375,-0.078125,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167062947,-0.063964844,-0.96759033,0.24969482,-2.453125,1.09375,-0.25,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167062990,-0.0546875,-0.9661255,0.24407959,-4.15625,0.890625,-0.484375,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167063027,-0.06591797,-0.9795532,0.27069092,-4.546875,2.921875,-1.03125,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
1634167063076,-0.08642578,-0.9561157,0.28045654,-5.53125,3.828125,-1.734375,Respeck_s1970333_Falling on knees_14-10-2021_00-17-46,Respeck,Falling on knees,48,s1970333,
