"# PDIoT walking data"
"# Start time: 20181002T135044"
"# Group: F"
"# Subject: Natasa"
"# Activity type: Descending stairs"
"# Sensor position: Upper arm"
"# Side of body: Right"
"# Sensor mounting: Body"
"# Number of steps: 30"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1538484645280","0","1.0214844","0.25","-0.13085938","-15.65625","-5.0625","2.5"
"1538484645281","1","0.9482422","0.22753906","-0.15234375","-8.3125","4.28125","-4.5625"
"1538484645281","2","0.8964844","0.18066406","-0.14160156","3.625","9.46875","-12.09375"
"1538484645281","3","0.99316406","0.20214844","-0.1484375","7.125","6.65625","-13.65625"
"1538484645284","4","1.0224609","0.17773438","-0.20214844","12.5625","3.0","-7.9375"
"1538484645285","5","1.0751953","0.16210938","-0.24609375","16.15625","5.4375","-12.15625"
"1538484645285","6","0.91503906","0.043945312","-0.2705078","25.96875","14.40625","-17.5"
"1538484645286","7","0.9042969","0.001953125","-0.23144531","12.84375","7.59375","-16.40625"
"1538484645286","8","0.94140625","0.064453125","-0.20605469","-1.25","-1.625","-9.53125"
"1538484645679","9","0.98535156","0.115234375","-0.2109375","1.625","-1.09375","-4.375"
"1538484645679","10","0.96484375","0.064453125","-0.20507812","-8.625","1.78125","-3.21875"
"1538484645877","11","0.92578125","0.087890625","-0.1796875","-20.65625","4.71875","-4.9375"
"1538484645877","12","0.9658203","0.13671875","-0.123046875","-18.15625","4.65625","-4.09375"
"1538484646074","13","1.0244141","0.095703125","-0.13378906","-12.125","-5.46875","-5.625"
"1538484646081","14","1.0615234","0.16015625","-0.123046875","-22.3125","1.0625","-14.46875"
"1538484646081","15","1.0527344","0.24316406","-0.17089844","-17.96875","-1.875","-19.09375"
"1538484646081","16","0.9765625","0.15429688","-0.15039062","-5.59375","-3.34375","-16.46875"
"1538484646082","17","0.87890625","0.12402344","-0.07519531","-14.0","-0.96875","-18.0625"
"1538484646082","18","0.9248047","0.24511719","-0.12597656","3.75","-14.75","-16.0625"
"1538484646082","19","0.86621094","0.25683594","-0.11816406","8.09375","-13.125","-15.5"
"1538484646082","20","1.0869141","0.21582031","-0.22558594","56.625","-30.125","10.4375"
"1538484646083","21","1.0263672","0.31347656","-0.22753906","54.40625","-19.75","17.40625"
"1538484646472","22","0.40625","-0.36132812","-0.18554688","58.5625","21.0625","-9.46875"
"1538484646474","23","1.0371094","-0.171875","-0.2685547","-11.25","15.03125","-14.46875"
"1538484646474","24","1.5888672","0.0029296875","-0.41992188","-52.75","9.03125","-8.40625"
"1538484646474","25","1.2451172","0.06542969","-0.42578125","-38.40625","44.1875","-39.71875"
"1538484646475","26","1.1982422","0.024414062","-0.3203125","-53.0","2.75","-10.25"
"1538484646476","27","0.98046875","0.12207031","-0.3310547","-49.03125","-21.09375","18.625"
"1538484646477","28","0.8955078","0.07910156","-0.24316406","-16.5","-5.46875","27.90625"
"1538484646477","29","0.71972656","-0.15429688","-0.16210938","-23.53125","5.5","5.5625"
"1538484646477","30","0.65625","-0.043945312","-0.12695312","-74.4375","-4.0625","-5.1875"
"1538484646672","31","1.5800781","0.87109375","-0.08105469","-122.53125","-58.28125","17.40625"
