,accel_x,accel_y,accel_z
0,-0.34179688,0.85058594,-0.07910156
1,-0.30273438,1.0771483999999998,-0.0087890625
2,-0.3330078,0.9423828000000002,-0.033203125
3,-0.3203125,0.9326171999999998,-0.03515625
4,-0.30078125,0.9765625,-0.037109375
5,-0.30371094,0.97753906,-0.048828125
6,-0.29296875,0.9628905999999999,-0.051757812
7,-0.265625,0.98046875,-0.06738281
8,-0.26660156,0.9404296999999998,-0.07519531
9,-0.29785156,0.96191406,-0.08496094
10,-0.27441406,0.9667969000000001,-0.09082031
11,-0.22363281,0.9589844000000001,-0.087890625
12,-0.19726562,0.9482421999999998,-0.10058594
13,-0.20214844,0.9345703000000002,-0.10449219
14,-0.1640625,0.91308594,-0.08300781
15,-0.16503906,0.9404296999999998,-0.06347656
16,-0.15917969,0.97558594,0.041992188
17,-0.14453125,0.98535156,0.125
18,-0.115234375,0.9423828000000002,0.12402344
19,-0.11621094,0.9628905999999999,0.12792969
20,-0.12402344,0.96972656,0.12109375
21,-0.14550781,1.0380859,0.12792969
22,-0.19335938,1.0341797,0.13378906
23,-0.19238281,1.0566406000000002,0.12988281
24,-0.171875,1.1962891000000002,0.234375
25,0.041015625,1.0527343999999998,0.3017578
26,0.051757812,0.9609375,0.31054688
27,0.08886719,0.94140625,0.34277344
28,0.125,0.8466796999999998,0.44726562
29,0.13671875,0.8544921999999998,0.41992188
30,0.021484375,0.74316406,0.39941406
31,-0.0029296875,0.8408203000000002,0.37304688
32,-0.0087890625,0.8642578000000002,0.31835938
33,-0.055664062,0.90234375,0.2626953
34,-0.037109375,0.82421875,0.16015625
35,-0.07519531,0.89941406,0.08496094
36,-0.11230469,1.1904297,0.038085938
37,-0.234375,0.82910156,0.10644531
38,-0.09375,1.2753906000000002,-0.12695312
39,-0.26464844,1.4052733999999998,-0.07714844
40,0.29589844,0.9609375,-0.25878906
41,0.46972656,-0.25097656,-0.63183594
42,0.41503906,-0.037109375,-0.34960938
43,0.83984375,-0.078125,-0.021484375
44,1.2626953,0.66308594,0.22167969
45,1.2568358999999998,0.62402344,0.12792969
46,1.9453125,0.203125,0.1796875
47,2.0029296999999997,0.3330078,0.16894531
48,1.8925781000000004,0.33203125,0.19921875
49,1.7685547,0.3876953,-0.19042969
50,1.4638672,0.12402344,-0.0126953125
51,1.4980468999999998,0.21777344,-0.21875
52,1.1728516000000002,0.21875,-0.31445312
53,1.0332031,0.3564453,-0.2783203
54,0.9980469000000001,0.33203125,-0.3564453
55,0.9785155999999999,0.44140625,-0.29785156
56,0.7783203000000001,0.33789062,-0.27441406
57,0.8808594000000001,0.26953125,-0.20507812
58,1.1601562,0.32128906,-0.17285156
59,1.5488281000000002,0.25683594,-0.07421875
60,1.7753906000000004,0.0234375,-0.0126953125
61,1.84375,0.080078125,0.0087890625
62,1.7773438000000001,0.16699219,-0.009765625
63,1.5976562,0.43554688,0.022460938
64,1.4628906000000002,0.37890625,0.020507812
65,1.2060547,0.375,0.038085938
66,0.97753906,0.37109375,-0.05078125
67,0.77734375,0.40527344,-0.1328125
68,0.6699219,0.3173828,-0.055664062
69,0.9951171999999998,0.24121094,-0.48632812
70,1.171875,0.36621094,-0.41113279999999996
71,1.4541016000000002,0.359375,-0.46777344
72,1.5302733999999998,0.21386719,-0.36816406
73,1.7001953,0.36621094,-0.25976562
74,1.6230468999999998,0.46484375,-0.27734375
75,1.4355468999999998,0.3173828,-0.28320312
76,1.2275391000000002,0.13183594,-0.3154297
77,1.1748047,0.09667969,-0.3154297
78,1.0371094,-0.15917969,-0.41894529999999996
79,1.0976562,-0.37304688,-0.3876953
80,1.2626953,-0.22167969,-0.36914062
81,1.2177733999999998,0.001953125,-0.31347656
82,1.1210938,0.068359375,-0.3076172
83,0.89941406,0.14746094,-0.26464844
84,0.68359375,-0.020507812,-0.14746094
85,0.39648438,-0.103515625,0.111328125
86,0.7949219,-0.25585938,0.0068359375
87,0.8828125,0.076171875,-0.038085938
88,1.3183593999999998,-0.038085938,0.13183594
89,1.4804688,0.08691406,0.15429688
90,1.8291016,0.12988281,0.13476562
91,1.8017578,0.15820312,0.1328125
92,1.8076172,0.25585938,0.10253906
93,1.7216797,0.22558594,0.11621094
94,1.5888672,0.38671875,0.18554688
95,1.3916016000000002,0.31054688,0.1796875
96,1.1552733999999998,0.28125,0.11230469
97,0.9580078000000002,0.34179688,-0.0146484375
98,0.8378905999999999,0.3125,-0.001953125
99,0.6845703000000001,0.26367188,-0.037109375
100,0.6191406,0.27441406,-0.103515625
101,0.6621094,0.22363281,-0.13867188
102,0.84375,0.38085938,-0.14648438
103,0.72265625,0.34277344,-0.38964844
104,0.90625,0.27734375,-0.41796875
105,1.0390625,0.31152344,-0.41699220000000004
106,1.2636718999999998,0.13671875,-0.51171875
107,1.4042968999999998,0.11328125,-0.45898438
108,1.6552734,0.25097656,-0.42871094
109,1.7099609,0.4140625,-0.45996094
110,1.4277343999999998,0.36132812,-0.35742188
111,1.3613281000000002,0.35742188,-0.29589844
112,1.359375,0.24121094,-0.25976562
113,1.2685547,0.33691406,-0.26367188
114,0.9736328000000002,0.36328125,-0.265625
115,0.9296875,0.41894529999999996,-0.28320312
116,0.875,0.5498046999999999,-0.25585938
117,0.78808594,0.48730470000000004,-0.19433594
118,1.1396483999999998,0.33007812,-0.15722656
119,1.484375,0.23339844,-0.08886719
120,1.7695311999999999,0.07519531,-0.0546875
121,1.7353516,-0.022460938,-0.0048828125
122,1.4941406000000002,0.10839844,-0.0029296875
123,1.2890625,0.16601562,-0.02734375
124,1.0927733999999998,0.24707031,-0.024414062
125,1.0908203,0.23828125,-0.009765625
126,1.0732422,0.20605469,0.020507812
127,0.9638671999999998,0.21191406,-0.029296875
128,0.93359375,0.24609375,-0.07421875
129,0.8886719000000001,0.20996094,-0.11328125
130,0.8515625,0.21875,-0.14746094
131,0.71484375,0.23828125,-0.25683594
132,0.6542969,0.16992188,-0.2626953
133,0.8847655999999999,0.23242188,-0.3671875
134,1.03125,0.13085938,-0.32128906
135,1.2490233999999998,0.15136719,-0.296875
136,1.3232422,0.23046875,-0.2626953
137,1.3173828,0.31152344,-0.28222656
138,1.3134766000000002,0.24804688,-0.31054688
139,1.2705078,0.2890625,-0.25195312
140,1.1552733999999998,0.28515625,-0.19628906
141,1.1132812,0.3017578,-0.16601562
142,1.2001953,0.390625,-0.11328125
143,1.1181641000000002,0.41992188,-0.12695312
144,1.1035156000000002,0.32226562,-0.16699219
145,1.2597656000000002,0.38671875,-0.22851562
146,1.3115233999999998,0.4921875,-0.24023438
147,0.72558594,0.40625,-0.18261719
148,0.9980469000000001,0.4140625,-0.18554688
149,1.3720703,0.28222656,-0.17480469
150,1.546875,0.15234375,-0.046875
151,1.5380858999999998,0.45898438,-0.040039062
152,1.5205078,0.30566406,-0.048828125
153,1.3173828,0.38476562,-0.068359375
154,1.2138672,0.35351562,-0.080078125
155,1.1181641000000002,0.2861328,-0.10644531
156,0.9746094000000001,0.34472656,-0.083984375
157,0.80859375,0.3046875,-0.043945312
158,0.7080078000000001,0.3330078,-0.103515625
159,0.7060546999999999,0.2529297,-0.08496094
160,0.8496094000000001,0.23925781,-0.09472656
161,0.7685546999999999,0.22558594,-0.10839844
162,0.72265625,0.14746094,-0.17773438
163,0.91308594,0.14550781,-0.19628906
164,1.1542968999999998,0.15039062,-0.20996094
165,1.5019531000000002,0.16308594,-0.14941406
166,1.5986328,0.3154297,-0.16308594
167,1.4482422,0.6503906,-0.27246094
168,1.0488281000000002,0.35546875,-0.16894531
169,1.1318358999999998,0.15429688,-0.26171875
170,1.0068359,0.2734375,-0.19921875
171,1.109375,0.41796875,-0.22753906
172,0.91796875,0.28125,-0.19433594
173,1.0058594,0.234375,-0.13769531
174,1.3095703,0.32910156,-0.13183594
175,1.6953125,0.15917969,-0.09863281
176,1.6640625,0.109375,-0.08886719
177,1.5917968999999998,0.16015625,-0.0625
178,1.4882812,0.15917969,-0.051757812
179,1.3017578,0.23925781,-0.109375
180,1.1591797,0.2265625,-0.07714844
181,1.0224609,0.30664062,-0.040039062
182,0.87402344,0.27539062,-0.044921875
183,0.7578125,0.29492188,-0.099609375
184,0.6513671999999999,0.32714844,-0.13183594
185,0.6611328000000001,0.3388672,-0.13183594
186,0.7734375,0.28222656,-0.17675781
187,0.77734375,0.24316406,-0.22753906
188,0.65527344,0.25195312,-0.3359375
189,0.7685546999999999,0.15917969,-0.21679688
190,1.1992188,0.23730469,-0.21972656
191,1.5625,0.36523438,-0.21972656
192,1.5322266000000002,0.46386720000000004,-0.1328125
193,1.4697266000000002,0.41699220000000004,-0.16992188
194,1.4003906000000002,0.3203125,-0.25097656
195,1.2558593999999998,0.27246094,-0.25585938
196,1.2080078,0.4013672,-0.23144531
197,1.2451172,0.30664062,-0.2685547
198,1.2333983999999998,0.10839844,-0.3017578
199,1.0703125,0.11816406,-0.35546875
200,0.9580078000000002,0.03125,-0.33984375
201,1.0244141,0.20898438,-0.33984375
202,1.015625,0.20410156,-0.26660156
203,0.9589844000000001,0.2109375,-0.14453125
204,0.69140625,0.3232422,-0.07128906
205,0.79785156,0.35742188,0.043945312
206,1.0380859,0.3251953,0.0625
207,1.3779297,0.23632812,0.047851562
208,1.5683593999999998,0.19824219,0.030273438
209,1.5917968999999998,0.1640625,0.049804688
210,1.5390625,0.37304688,0.0029296875
