,accel_x,accel_y,accel_z
0,0.96777344,0.083984375,-0.0087890625
1,0.9482421999999998,0.09667969,-0.032226562
2,0.9199219000000001,0.09375,-0.047851562
3,0.9111328000000002,0.095703125,-0.07910156
4,0.93359375,0.10839844,-0.08984375
5,1.0332031,0.123046875,-0.083984375
6,1.0234375,0.10546875,-0.06933594
7,0.95703125,0.11035156,-0.060546875
8,1.0136719,0.123046875,-0.07421875
9,1.0888672,0.13183594,-0.06640625
10,1.0253906,0.13574219,-0.03125
11,0.9482421999999998,0.13476562,-0.041015625
12,0.92089844,0.12792969,-0.046875
13,0.9375,0.14160156,-0.047851562
14,0.9472655999999999,0.140625,-0.018554688
15,0.96777344,0.12988281,-0.0009765625
16,0.98828125,0.13476562,0.0048828125
17,1.0205078,0.13183594,0.033203125
18,1.1201172,0.13671875,0.048828125
19,1.2080078,0.125,0.043945312
20,1.3642578,0.1484375,0.080078125
21,1.4941406000000002,0.13183594,0.02734375
22,1.2402343999999998,0.07324219,-0.041015625
23,0.75097656,0.043945312,-0.028320312
24,0.7705078000000001,0.049804688,0.12402344
25,0.8779296999999998,0.009765625,0.13671875
26,0.85839844,0.015625,0.13378906
27,0.8496094000000001,0.03125,0.12695312
28,0.84472656,0.033203125,0.08203125
29,0.8066406,0.030273438,0.032226562
30,0.7636719,0.038085938,0.043945312
31,0.7441406,0.040039062,0.045898438
32,0.77246094,0.055664062,0.020507812
33,0.8408203000000002,0.072265625,0.024414062
34,0.94628906,0.07910156,0.0029296875
35,1.1416016000000002,0.087890625,-0.06347656
36,1.2753906000000002,0.08691406,-0.13574219
37,1.1875,0.080078125,-0.13183594
38,1.4033203,0.08300781,-0.16113281
39,1.2695312,0.061523438,-0.16894531
40,0.95410156,0.048828125,-0.119140625
41,0.9824219000000001,0.064453125,-0.08105469
42,1.0175781,0.09375,-0.11230469
43,1.0283203,0.11425781,-0.10058594
44,0.98828125,0.14550781,-0.020507812
45,0.84472656,0.1484375,0.0078125
46,0.6826171999999999,0.140625,0.005859375
